iter	Passed	Remaining
0	1	119
1	2	109
2	3	104
3	4	101
4	5	99
5	6	97
6	7	97
7	8	95
8	9	92
9	10	90
10	11	89
11	11	87
12	12	85
13	13	84
14	14	82
15	15	81
16	16	80
17	17	78
18	18	77
19	19	76
20	20	75
21	21	74
22	21	73
23	22	72
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	29	64
31	30	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	57
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	43	50
46	44	49
47	45	48
48	46	47
49	47	47
50	48	46
51	49	45
52	50	44
53	51	43
54	52	42
55	53	41
56	54	40
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	74	19
79	75	18
80	76	17
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	90	2
97	91	1
98	92	0
99	93	0
